spec,component,beta_std,se_cluster,p_value,q_bh,ci95_low,ci95_high,n,clusters,r_squared
strict_no_covid_2020_2022,cstp1_lag1,0.002993990627997931,0.008291207848133761,0.7192490689214521,0.8734612503121556,-0.013579897702225069,0.01956787895822093,504,63,0.2971212855709432
strict_no_covid_2020_2022,cstp2_lag1,-0.012680127827725134,0.012570942718721861,0.3170459782693032,0.781700273170243,-0.03780908426470828,0.012448828609258014,504,63,0.2971212855709432
strict_no_covid_2020_2022,cstp3_lag1,0.008076913823067819,0.009346927926322891,0.3908501365851215,0.781700273170243,-0.010607328873415504,0.02676115651955114,504,63,0.2971212855709432
strict_no_covid_2020_2022,cstp4_lag1,-0.020460691825205282,0.014680841511845679,0.1683839186411628,0.5612797288038761,-0.049807275853466046,0.008885892203055478,504,63,0.2971212855709432
strict_no_covid_2020_2022,cstp5_lag1,0.033159957047985536,0.011823477935637003,0.006719624814985692,0.06719624814985692,0.009525161422374556,0.056794752673596516,504,63,0.2971212855709432
strict_no_covid_2020_2022,cstp6_lag1,-0.010780980328750895,0.006837161978183807,0.11992592434148806,0.5612797288038761,-0.024448272380483915,0.0028863117229821263,504,63,0.2971212855709432
strict_no_covid_2020_2022,cstp7_lag1,0.006534797881728311,0.014250572601148181,0.6481508143760449,0.8734612503121556,-0.021951690849383174,0.0350212866128398,504,63,0.2971212855709432
strict_no_covid_2020_2022,cstp8_lag1,0.0033469025723519234,0.012280563614149805,0.7861151252809401,0.8734612503121556,-0.021201594305450024,0.027895399450153874,504,63,0.2971212855709432
strict_no_covid_2020_2022,cstp9_lag1,0.006943008390604254,0.011295278957118267,0.5410139126612361,0.8734612503121556,-0.01563593252162165,0.02952194930283016,504,63,0.2971212855709432
strict_no_covid_2020_2022,cstp10_lag1,0.0005270113973954438,0.009879850141690044,0.9576308875326656,0.9576308875326657,-0.019222527628401147,0.020276550423192034,504,63,0.2971212855709432
contemporaneous_10,cstp1,-0.002357143531965424,0.006611492308851246,0.7226600258847387,0.9033250323559233,-0.015573328342444315,0.010859041278513467,756,63,0.24570174441050674
contemporaneous_10,cstp2,-0.0031368956038411483,0.005624139880240813,0.5790196866031975,0.9033250323559233,-0.01437939103225405,0.008105599824571754,756,63,0.24570174441050674
