dropped_year,beta_std,se_cluster,p_value,n
2014,0.049244786974045746,0.010772163644651766,2.3667399295967878e-05,630
2015,0.031914896886650695,0.009047021846331958,0.0007956853101851089,630
2016,0.032530491749131286,0.009142212478176719,0.0007225932397663611,630
2017,0.034006259946641394,0.008713829864224096,0.00023715108934110348,630
2018,0.038897200671107336,0.010241576461210947,0.0003345706020343177,630
2019,0.036428417556139465,0.009731675863348969,0.0003997579268024445,630
2020,0.034388830379344246,0.009592685025619569,0.0006642378536648324,630
2021,0.03841036019522964,0.009908594695948202,0.0002585271666592789,630
2022,0.03317601156466393,0.009615747215372707,0.001013466049030458,630
2023,0.0330835177751998,0.009146194314092368,0.0005994899794875589,630
2024,0.03875571357061182,0.009474300883453295,0.00012624493037096014,630
