spec,outcome,component,component_label,beta_std,pct_equivalent,se_cluster,t_stat,p_value,q_bh,ci95_low,ci95_high,n,clusters,df_inference,r_squared,condition_number
full,log_revenue,cstp1_lag1,Chi phí gia nhập thị trường,-0.0017581976645324297,-0.1756652940461345,0.00849764179287814,-0.20690418675990466,0.8367627115484225,0.9208006208892311,-0.018744741570448285,0.015228346241383426,693,63,62,0.9893666383440634,136.89490457720228
full,log_revenue,cstp2_lag1,Tiếp cận đất đai,-0.014907625861204298,-1.4797057326798702,0.013996530871048051,-1.065094343630596,0.290963655304816,0.72740913826204,-0.04288629240970774,0.013071040687299145,693,63,62,0.9893666383440634,136.89490457720228
full,log_revenue,cstp3_lag1,Tính minh bạch,-0.02090918226121976,-2.0692100940053915,0.01197651697954659,-1.745848337787047,0.08579089951274839,0.3514646599618174,-0.044849898576600024,0.003031534054160505,693,63,62,0.9893666383440634,136.89490457720228
full,log_revenue,cstp4_lag1,Chi phí thời gian,-0.001339757322444867,-0.13388602482686807,0.013420256852229147,-0.09983097471210688,0.920800620889231,0.9208006208892311,-0.02816646852132296,0.025486953876433228,693,63,62,0.9893666383440634,136.89490457720228
full,log_revenue,cstp5_lag1,Chi phí không chính thức,0.015151375322092714,1.526673931382061,0.019612061862226086,0.7725539226079589,0.44272158117365584,0.8771030067475482,-0.024052577730793834,0.054355328374979264,693,63,62,0.9893666383440634,136.89490457720228
full,log_revenue,cstp6_lag1,Cạnh tranh bình đẳng,0.028390121250124876,2.879696169976187,0.016951478227495192,1.6747873471044121,0.09901338948386681,0.3514646599618174,-0.005495400898249479,0.06227564339849923,693,63,62,0.9893666383440634,136.89490457720228
full,log_revenue,cstp7_lag1,Tính năng động,0.01199821628304496,1.2070483617186323,0.018825993559574306,0.6373218096073896,0.5262618040485288,0.8771030067475482,-0.02563440862239791,0.04963084118848783,693,63,62,0.9893666383440634,136.89490457720228
full,log_revenue,cstp8_lag1,Dịch vụ hỗ trợ doanh nghiệp,0.019826638983781276,2.0024492215402034,0.012067124175975557,1.643029332809398,0.10543939798854522,0.3514646599618174,-0.004295198536498745,0.04394847650406129,693,63,62,0.9893666383440634,136.89490457720228
full,log_revenue,cstp9_lag1,Đào tạo lao động,0.00816903731164941,0.8202494940434235,0.02186807693587589,0.373559931017419,0.7100060795698848,0.9084168632732188,-0.03554462561546106,0.051882700238759884,693,63,62,0.9893666383440634,136.89490457720228
full,log_revenue,cstp10_lag1,Thiết chế pháp lý & ANTT,0.006623384354975967,0.664536747254485,0.01886681672506708,0.3510599827991077,0.7267334906185751,0.9084168632732188,-0.0310908448955221,0.04433761360547404,693,63,62,0.9893666383440634,136.89490457720228
full,log_revenue_change,cstp1_lag1,Chi phí gia nhập thị trường,0.007127209795040091,0.7152668802727247,0.007573935314907425,0.9410180439502744,0.35034771621322053,0.6105643429117299,-0.008012871171313087,0.02226729076139327,693,63,62,0.2872632503847389,136.89490457720228
full,log_revenue_change,cstp2_lag1,Tiếp cận đất đai,-0.012237618011958088,-1.216304288195058,0.008424520221860177,-1.45261898478249,0.15137203906039948,0.37843009765099866,-0.0290779939801283,0.0046027579562121276,693,63,62,0.2872632503847389,136.89490457720228
full,log_revenue_change,cstp3_lag1,Tính minh bạch,0.002961670906871065,0.29660609870725274,0.0070215082498974665,0.42179981870908057,0.6746301004464499,0.75844545015852,-0.01107412409128886,0.016997465905030987,693,63,62,0.2872632503847389,136.89490457720228
full,log_revenue_change,cstp4_lag1,Chi phí thời gian,-0.015536881760770388,-1.5416807079701722,0.009795014953418479,-1.5862029649426912,0.1177808428769437,0.37843009765099866,-0.035116837661569957,0.004043074140029178,693,63,62,0.2872632503847389,136.89490457720228
full,log_revenue_change,cstp5_lag1,Chi phí không chính thức,0.036279844045433864,3.694598905216906,0.008882325146175684,4.084498534829506,0.00012888972125555098,0.0012888972125555099,0.018524329073199328,0.0540353590176684,693,63,62,0.2872632503847389,136.89490457720228
full,log_revenue_change,cstp6_lag1,Cạnh tranh bình đẳng,-0.011532316966090616,-1.146607468564198,0.005871975747927767,-1.963958548391552,0.05402242378284331,0.27011211891421655,-0.023270229234908995,0.00020559530272776239,693,63,62,0.2872632503847389,136.89490457720228
full,log_revenue_change,cstp7_lag1,Tính năng động,-0.004884170902076819,-0.48722627344400804,0.011888038342400344,-0.41084750582076635,0.682600905142668,0.75844545015852,-0.02864802094193581,0.01887967913778217,693,63,62,0.2872632503847389,136.89490457720228
full,log_revenue_change,cstp8_lag1,Dịch vụ hỗ trợ doanh nghiệp,0.008305974293501642,0.8340564600392675,0.009127288067688298,0.910015574385758,0.36633860574703797,0.6105643429117299,-0.009939214581565893,0.026551163168569175,693,63,62,0.2872632503847389,136.89490457720228
full,log_revenue_change,cstp9_lag1,Đào tạo lao động,0.0063621684209133585,0.6382450003221907,0.00892087220356358,0.7131778458133153,0.47841156255504097,0.6834450893643442,-0.011470401021105036,0.02419473786293175,693,63,62,0.2872632503847389,136.89490457720228
full,log_revenue_change,cstp10_lag1,Thiết chế pháp lý & ANTT,-0.0014948116673215268,-0.14936949928364696,0.008639082351032753,-0.17302898694359947,0.8631922873148146,0.8631922873148146,-0.018764091220341755,0.015774467885698702,693,63,62,0.2872632503847389,136.89490457720228
no_covid_2020_2021,log_revenue,cstp1_lag1,Chi phí gia nhập thị trường,-0.00721926234768578,-0.7193266068866166,0.012656586824734074,-0.5703956720446599,0.5704708121379787,0.8395871314935264,-0.03251941891318913,0.018080894217817566,567,63,62,0.988774353933251,138.9642710246832
no_covid_2020_2021,log_revenue,cstp2_lag1,Tiếp cận đất đai,-0.00695038558178588,-0.6926287514526397,0.01713687653364777,-0.4055806534019776,0.6864470021160629,0.8395871314935264,-0.04120651366346548,0.027305742499893718,567,63,62,0.988774353933251,138.9642710246832
no_covid_2020_2021,log_revenue,cstp3_lag1,Tính minh bạch,-0.01727660908725407,-1.7128224234371103,0.012765731195566366,-1.3533583640907594,0.1808550353979853,0.6028501179932844,-0.0427949421412957,0.008241723966787556,567,63,62,0.988774353933251,138.9642710246832
no_covid_2020_2021,log_revenue,cstp4_lag1,Chi phí thời gian,-0.007135039426938827,-0.7109645464660863,0.018178795766068418,-0.39249241362052795,0.6960405343853378,0.8395871314935264,-0.04347393437727658,0.029203855523398922,567,63,62,0.988774353933251,138.9642710246832
no_covid_2020_2021,log_revenue,cstp5_lag1,Chi phí không chính thức,0.021371895575911015,2.160191023004243,0.02432310147594939,0.8786665465768615,0.38297476079274123,0.8395871314935264,-0.027249291480424355,0.06999308263224638,567,63,62,0.988774353933251,138.9642710246832
