spec,component,component_label,mean,sd_sample,n
full,cstp1_lag1,Chi phí gia nhập thị trường,7.648969560836774,0.7345465353125649,693
full,cstp2_lag1,Tiếp cận đất đai,6.488617906513923,0.719422722335606,693
full,cstp3_lag1,Tính minh bạch,6.108389190561399,0.5361722044976244,693
full,cstp4_lag1,Chi phí thời gian,6.955534335515224,0.8743508226154636,693
full,cstp5_lag1,Chi phí không chính thức,6.118282135005426,1.0535809772058422,693
full,cstp6_lag1,Cạnh tranh bình đẳng,5.6779173006805355,0.9951914036987858,693
full,cstp7_lag1,Tính năng động,5.8136661956677935,1.0567330467402236,693
full,cstp8_lag1,Dịch vụ hỗ trợ doanh nghiệp,6.006026439680313,0.7784783701477781,693
full,cstp9_lag1,Đào tạo lao động,6.022472023315296,0.8233464730352656,693
full,cstp10_lag1,Thiết chế pháp lý & ANTT,6.385479296050605,0.9786892538766935,693
no_covid_2020_2021,cstp1_lag1,Chi phí gia nhập thị trường,7.673272496754642,0.748585151506376,567
no_covid_2020_2021,cstp2_lag1,Tiếp cận đất đai,6.428204954522294,0.738260621460768,567
no_covid_2020_2021,cstp3_lag1,Tính minh bạch,6.071919416329893,0.5279231577365949,567
no_covid_2020_2021,cstp4_lag1,Chi phí thời gian,6.8716200961411955,0.8551164613560904,567
no_covid_2020_2021,cstp5_lag1,Chi phí không chính thức,6.052143597105398,1.107060583224344,567
no_covid_2020_2021,cstp6_lag1,Cạnh tranh bình đẳng,5.48626594245434,0.931697510706189,567
no_covid_2020_2021,cstp7_lag1,Tính năng động,5.68878513862042,1.0892598815971148,567
no_covid_2020_2021,cstp8_lag1,Dịch vụ hỗ trợ doanh nghiệp,5.977593338092519,0.8022392802242021,567
no_covid_2020_2021,cstp9_lag1,Đào tạo lao động,5.8975203036287525,0.802044370817845,567
no_covid_2020_2021,cstp10_lag1,Thiết chế pháp lý & ANTT,6.316293213691481,1.0285414158512787,567
