source_id,priority,status,provider,table_or_dataset,target_years,level,variables,scientific_role,merge_key,redistribution_policy,source_url,decision
NSO_E05_02,MUST,acquisition_automated_in_PR13,NSO,E05.02,2016-2024,province-year,new enterprise registrations,entry numerator,province+year,public statistical table; record source hash,https://pxweb.nso.gov.vn/pxweb/en/Enterprise/Enterprise/E05.02.px/,INCLUDE
NSO_E05_04,MUST,acquisition_automated_in_PR13,NSO,E05.04,2017-2024,province-year,active enterprises,entry denominator and firm stock,province+year,public statistical table; record source hash,https://pxweb.nso.gov.vn/pxweb/en/Enterprise/Enterprise/E05.04.px/,INCLUDE
NSO_E05_05,MUST,acquisition_automated_in_PR13,NSO,E05.05,2017-2024,province-year,active enterprises per 1000 residents,official firm-density outcome and cross-check,province+year,public statistical table; record source hash,https://pxweb.nso.gov.vn/pxweb/en/Enterprise/Enterprise/E05.05.px/,INCLUDE
NSO_E05_08,MUST,acquisition_automated_in_PR13,NSO,E05.08,2015-2023,province-year,active enterprises with business outcomes,matched denominator for intensive margins,province+year,public statistical table; page reports Copyright No,https://pxweb.nso.gov.vn/pxweb/en/Enterprise/Enterprise/E05.08.px/,INCLUDE
NSO_E05_11,MUST,acquisition_automated_in_PR13,NSO,E05.11,2015-2023,province-year,enterprise workers,workers per firm and revenue per worker,province+year,public statistical table; record source hash,https://pxweb.nso.gov.vn/pxweb/en/Enterprise/Enterprise/E05.11.px/,INCLUDE
NSO_E05_17,MUST,acquisition_automated_in_PR13,NSO,E05.17,2015-2023,province-year,average annual business capital,capital per firm and per worker,province+year,public statistical table; record source hash,https://pxweb.nso.gov.vn/pxweb/en/Enterprise/Enterprise/E05.17.px/,INCLUDE
NSO_E05_23,MUST,acquisition_automated_in_PR13,NSO,E05.23,2015-2023,province-year,net business revenue,accounting decomposition and intensive outcomes,province+year,public statistical table; record source hash,https://pxweb.nso.gov.vn/pxweb/en/Enterprise/Enterprise/E05.23.px/,INCLUDE
NSO_E05_35,MUST,acquisition_automated_in_PR13,NSO,E05.35,2015-2023,province-year,average monthly employee income,labor-value outcome,province+year,public statistical table; record source hash,https://pxweb.nso.gov.vn/pxweb/en/Enterprise/Enterprise/E05.35.px/,INCLUDE
NSO_E05_38,MUST,acquisition_automated_in_PR13,NSO,E05.38,2015-2023,province-year,pre-tax enterprise profit,profit per firm and profit margin,province+year,public statistical table; record source hash,https://pxweb.nso.gov.vn/pxweb/en/Enterprise/Enterprise/E05.38.px/,INCLUDE
NSO_E05_41,MUST,acquisition_automated_in_PR13,NSO,E05.41,2015-2023,province-year,enterprise profitability ratio,official profitability cross-check,province+year,public statistical table; record source hash,https://pxweb.nso.gov.vn/pxweb/en/Enterprise/Enterprise/E05.41.px/,INCLUDE
NSO_E05_44,MUST,acquisition_automated_in_PR13,NSO,E05.44,2015-2023,province-year,fixed assets per worker,capital-intensity robustness outcome,province+year,public statistical table; record source hash,https://pxweb.nso.gov.vn/pxweb/en/Enterprise/Enterprise/E05.44.px/,INCLUDE
NSO_E02_03_07,MUST,added_to_PR13,NSO,E02.03-07,2015-2023,province-year,average population,independent density denominator and scale context,province+year,public statistical table; page reports Copyright No,https://pxweb.nso.gov.vn/pxweb/en/Population%20and%20Employment/Population%20and%20Employment/E02.03-07.px/,INCLUDE
NSO_E02_55,SHOULD,added_to_PR13,NSO,E02.55,2015-2023,province-year,trained labor-force share,capability context and predeclared heterogeneity only; not automatic control,province+year,public statistical table; page reports Copyright No,https://pxweb.nso.gov.vn/pxweb/en/Population%20and%20Employment/Population%20and%20Employment/E02.55.px/,INCLUDE_SECONDARY
NSO_E11_23,MUST,added_to_PR13,NSO,E11.23,2015-2023,province-year,spatial cost-of-living index Hanoi=100,relative-price robustness for revenue wage and profit outcomes,province+year,public statistical table; page reports Copyright No,https://pxweb.nso.gov.vn/pxweb/en/Trade%2C%20Price%20and%20Tourist/Trade%2C%20Price%20and%20Tourist/E11.23.px/,INCLUDE
PCI_SUBINDICES,MUST,existing_plus_reproducible_scrape,VCCI,PCI 10 subindices,2013-2024,province-year-component,ten business-facing governance subindices,primary institutional exposures,province+year,original PCI datasets must not be reshared/repackaged without permission; keep source links hashes and derived analytical values only as allowed by policy,https://pcivietnam.vn/en/pci-data,INCLUDE_WITH_LICENSE_GUARD
PAPI_CORE,SHOULD,not_yet_acquired,PAPI/UNDP,Core PAPI comparable indicators,2015-2023,province-year,unchanged core dimensions especially transparency corruption public administration,independent citizen-facing governance triangulation,province+year,aggregate Excel/CSV downloadable; raw respondent microdata require request and terms,https://papi.org.vn/eng/papi-data/,INCLUDE_AFTER_COMPARABILITY_AUDIT
BOUNDARY_63,SHOULD,source_selected_not_yet_vendored,Nguyen Duy Liem Free-GIS-Data,pre-2025 province GeoJSON,pre-2025,province geometry,63 historical province boundaries,spatial adjacency and residual-dependence diagnostics,province,repository requests attribution and permits public use,https://github.com/nguyenduy1133/Free-GIS-Data,INCLUDE_WITH_ATTRIBUTION
NSO_E03_10,SECONDARY,verified_short_window,NSO,E03.10,7 available years,province-year,GRDP growth index at constant 2010 prices,macro-context sensitivity only; not primary control because outcome-adjacent and incomplete,province+year,public statistical table,https://pxweb.nso.gov.vn/pxweb/en/National%20Accounts%20and%20State%20budget/National%20Accounts%20and%20State%20budget/E03.10.px/,DEFER_TO_ROBUSTNESS
NSO_E03_12,SECONDARY,verified_short_window,NSO,E03.12,7 available years,province-year,GRDP per capita,macro-context sensitivity and descriptive validation only,province+year,public statistical table,https://pxweb.nso.gov.vn/pxweb/en/National%20Accounts%20and%20State%20budget/National%20Accounts%20and%20State%20budget/E03.12.px/,DEFER_TO_ROBUSTNESS
PAR_INDEX,SECONDARY,verified_reports_not_panelized,Ministry of Home Affairs,PAR Index,annual reports including 2023,province-year,public-administration reform score,possible external governance validation but overlaps PAPI and may embed outcome-related components,province+year,public reports,https://moha.gov.vn/,DEFER
SIPAS,SECONDARY,verified_reports_not_panelized,Ministry of Home Affairs,SIPAS,annual reports including 2023,province-year,citizen satisfaction,possible governance validation but overlaps PAPI,province+year,public reports,https://moha.gov.vn/,DEFER
DTI,LOW,verified_short_window,Ministry digital-transformation portal,Provincial DTI,recent years,province-year,digital government/economy/society indicators,too short for main 2015-2023 design and affected by 2025 province mergers,province+year,public web data,https://dti.gov.vn/,DO_NOT_ADD_NOW
WBES_2023,LOW,verified_not_province_panel,World Bank,Enterprise Survey Vietnam 2023,2023,firm with 5 sampling regions,firm business environment and performance,external descriptive benchmark only; cannot merge to 63-province panel,region not province,public metadata; microdata access via Enterprise Surveys terms,https://microdata.worldbank.org/catalog/6477,DO_NOT_MERGE_CORE
FDI_PROVINCE,LOW,verified_no_annual_panel_in_current_PXWEB,NSO,E04.14/E04.17,2024 snapshot,cumulative or 2024-only province FDI,insufficient longitudinal coverage for main panel,province,public statistical table,https://pxweb.nso.gov.vn/pxweb/en/Investment/Investment/,DO_NOT_ADD_NOW
VHLSS_LFS,LOW,not_needed_for_current_estimand,NSO/World Bank catalog,VHLSS/LFS,various,household/person,possible labor or welfare context but different sampling unit and extra access/harmonization burden,province/year where available,varies by wave and access terms,,DO_NOT_ADD_NOW
ENTERPRISE_MICRODATA,FUTURE,not_publicly_verified_for_research_download,NSO,annual Enterprise Survey,various,firm,industry mix and firm-level mechanisms would materially strengthen identification if access is granted,firm+province+year,confidential survey data; public pages document collection not unrestricted microdata download,https://www.nso.gov.vn/chuyen-trang/dieu-tra-doanh-nghiep/,SEEK_ACCESS_ONLY_IF_TIME
